[2026-04-02T21:34:22.618Z] Spawning ./Simulator/build/grblHAL_sim -p 23000
[2026-04-02T21:34:22.624Z] PID 82034
[2026-04-02T21:34:29.346Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:29.346Z] sim→ws 1B: \n
[2026-04-02T21:34:29.401Z] ws→sim 1B: ?
[2026-04-02T21:34:29.441Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:29.441Z] sim→ws 1B: \n
[2026-04-02T21:34:29.500Z] ws→sim 1B: ?
[2026-04-02T21:34:29.546Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:29.546Z] sim→ws 1B: \n
[2026-04-02T21:34:29.601Z] ws→sim 1B: ?
[2026-04-02T21:34:29.646Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:29.646Z] sim→ws 1B: \n
[2026-04-02T21:34:29.701Z] ws→sim 1B: ?
[2026-04-02T21:34:29.746Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:29.746Z] sim→ws 1B: \n
[2026-04-02T21:34:29.800Z] ws→sim 1B: ?
[2026-04-02T21:34:29.846Z] sim→ws 64B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0|Ov:100,100,100>\r
[2026-04-02T21:34:29.846Z] sim→ws 1B: \n
[2026-04-02T21:34:29.901Z] ws→sim 1B: ?
[2026-04-02T21:34:29.946Z] sim→ws 71B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0|WCO:0.000,0.000,0.000>\r
[2026-04-02T21:34:29.946Z] sim→ws 1B: \n
[2026-04-02T21:34:30.000Z] ws→sim 1B: ?
[2026-04-02T21:34:30.046Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:30.046Z] sim→ws 1B: \n
[2026-04-02T21:34:30.100Z] ws→sim 1B: ?
[2026-04-02T21:34:30.146Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:30.146Z] sim→ws 1B: \n
[2026-04-02T21:34:30.200Z] ws→sim 1B: ?
[2026-04-02T21:34:30.246Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:30.246Z] sim→ws 1B: \n
[2026-04-02T21:34:30.300Z] ws→sim 1B: ?
[2026-04-02T21:34:30.346Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
